request_id,period_days,ref_date,spend_google,spend_meta,spend_ms,feature_clicks_google,feature_daily_avg_clicks_google,feature_days_with_clicks_google,feature_clicks_meta,feature_daily_avg_clicks_meta,feature_days_with_clicks_meta,feature_clicks_microsoft,feature_daily_avg_clicks_microsoft,feature_days_with_clicks_microsoft,feature_conversions_google,feature_daily_avg_conversions_google,feature_days_with_conversions_google,feature_conversions_meta,feature_daily_avg_conversions_meta,feature_days_with_conversions_meta,feature_conversions_microsoft,feature_daily_avg_conversions_microsoft,feature_days_with_conversions_microsoft,feature_impressions_google,feature_daily_avg_impressions_google,feature_days_with_impressions_google,feature_impressions_meta,feature_daily_avg_impressions_meta,feature_days_with_impressions_meta,feature_impressions_microsoft,feature_daily_avg_impressions_microsoft,feature_days_with_impressions_microsoft,feature_revenue_google,feature_daily_avg_revenue_google,feature_days_with_revenue_google,feature_revenue_meta,feature_daily_avg_revenue_meta,feature_days_with_revenue_meta,feature_revenue_microsoft,feature_daily_avg_revenue_microsoft,feature_days_with_revenue_microsoft,feature_spend_google,feature_daily_avg_spend_google,feature_days_with_spend_google,feature_spend_meta,feature_daily_avg_spend_meta,feature_days_with_spend_meta,feature_spend_microsoft,feature_daily_avg_spend_microsoft,feature_days_with_spend_microsoft,feature_total_spend,feature_daily_avg_total_spend,feature_days_with_total_spend,feature_total_revenue,feature_daily_avg_total_revenue,feature_days_with_total_revenue,feature_total_clicks,feature_daily_avg_total_clicks,feature_days_with_total_clicks,feature_total_impressions,feature_daily_avg_total_impressions,feature_days_with_total_impressions,feature_total_conversions,feature_daily_avg_total_conversions,feature_days_with_total_conversions,feature_spend_share_google,feature_spend_share_meta,feature_spend_share_microsoft,feature_roas_google,feature_roas_meta,feature_roas_microsoft,feature_blended_roas,month,quarter,year,day_of_month,day_of_week,week_of_year,is_weekend,is_month_start,is_month_end,is_month_1,is_month_2,is_month_3,is_month_4,is_month_5,is_month_6,is_month_7,is_month_8,is_month_9,is_month_10,is_month_11,is_month_12,is_q1,is_q2,is_q3,is_q4,is_holiday,weekend_ratio,days_since_start,trend,feature_spend_ctype_search,feature_revenue_ctype_search,feature_roas_ctype_search,feature_spend_ctype_pmax,feature_revenue_ctype_pmax,feature_roas_ctype_pmax,feature_spend_ctype_display,feature_revenue_ctype_display,feature_roas_ctype_display,feature_spend_ctype_video,feature_revenue_ctype_video,feature_roas_ctype_video,feature_spend_ctype_demand_gen,feature_revenue_ctype_demand_gen,feature_roas_ctype_demand_gen,feature_spend_ctype_shopping,feature_revenue_ctype_shopping,feature_roas_ctype_shopping,feature_spend_ctype_audience,feature_revenue_ctype_audience,feature_roas_ctype_audience,feature_spend_ctype_other,feature_revenue_ctype_other,feature_roas_ctype_other
default_30d,30,2026-06-06,58224.904594,8463.470002999999,3806.1100000000006,136319.0,4543.966666666666,29,25654.0,855.1333333333333,30,3292.0,109.73333333333333,30,2841.1861329999992,94.70620443333331,29,0.0,0.0,0,40.0,1.3333333333333333,21,10617614.0,353920.4666666667,29,692391.0,23079.7,30,202116.0,6737.2,30,293298.43772662006,9776.614590887335,29,43398.09000000001,1446.6030000000003,30,6104.64,203.488,21,58224.904594,1877.391161766667,29,8463.470002999999,274.47400009999996,30,3806.1100000000006,123.47366666666669,30,70494.484597,2275.338828533333,30,342801.16772662,11426.705590887334,30,165265.0,5508.833333333333,30,11512121.0,383737.36666666664,30,2881.1861329999992,96.03953776666664,29,0.8259497878005316,0.12005861240611403,0.053991599793354265,5.037336510412145,5.12769466715389,1.6039052996366367,4.862808341479929,6,2,2026,6,5,23,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.2857142857142857,887,2.428473648186174,18042.477403,85074.81244616,4.715251156807005,31411.827449999997,118575.33125012003,3.7748625557956843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10571.640000000001,95752.93403034001,9.057528825266468,0.0,0.0,0.0,8234.220002999999,43398.09000000001,5.270455487488633
default_60d,60,2026-06-06,116449.809188,16926.940005999997,7612.220000000001,288299.0,4804.983333333334,59,40635.0,677.25,60,7175.0,119.58333333333333,60,5791.926839,96.53211398333333,59,0.0,0.0,0,72.0,1.2,41,22283886.0,371398.1,59,1106005.0,18433.416666666668,60,488615.0,8143.583333333333,60,632357.5146277691,10539.291910462818,59,76374.27000000002,1272.9045000000003,59,10408.739999999998,173.47899999999996,41,116449.809188,1934.1447582666665,59,16926.940005999997,208.07033339999998,60,7612.220000000001,131.79283333333333,60,140988.969194,2274.007925000001,60,719140.5246277691,11985.675410462818,60,336109.0,5601.816666666667,60,23878506.0,397975.1,60,5863.926839,97.73211398333333,59,0.8259497878005316,0.12005861240611403,0.053991599793354265,5.4303009943697935,4.511995078432845,1.3673724616471932,5.100686449010319,6,2,2026,6,5,23,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.2857142857142857,887,2.428473648186174,34369.887321,185076.38681058,5.384841244373191,62907.728175000004,248596.98281350898,3.9517717461032595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26678.640000000003,209092.88500368,7.837464166227363,0.0,0.0,0.0,12484.220003999999,76374.27000000002,6.117664537754811
default_90d,90,2026-06-06,174674.713782,25390.410008999996,11418.330000000002,411271.0,4569.677777777778,89,62986.0,699.8444444444444,90,8378.0,93.08888888888889,89,8803.065207,97.81183563333333,89,0.0,0.0,0,75.0,0.8333333333333334,43,31240301.0,347114.4555555555,89,1768851.0,19653.9,90,599876.0,6665.288888888889,90,940329.662697409,10448.107363304545,89,118229.54000000001,1313.6615555555557,89,10714.59,119.051,43,174674.713782,1752.7480340111115,89,25390.410008999996,204.29888895555555,90,11418.330000000002,97.225,89,211483.453791,2054.271922966667,90,1069273.7926974092,11880.819918860101,90,482635.0,5362.611111111111,90,33609028.0,373433.64444444445,90,8878.065207,98.64516896666666,89,0.8259497878005317,0.12005861240611403,0.053991599793354265,5.38331875483118,4.656464387857142,0.9383675195934956,5.0560635999170245,6,2,2026,6,5,23,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.2857142857142857,887,2.428473648186174,44985.596643,264777.13835148,5.8858203093918675,93137.26641800001,423320.567498709,4.54512553115792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28306.269999999997,262946.54684722,9.289339317657184,68.44,0.0,0.0,18386.900006,118229.54000000001,6.4300964252494675
